snap(0,0,0)

sky(0,0,0)
fog(1000,1000,1000)
ground(0,0,0)

fadefrom(3000)

name(Floating Ramp Paradise)
nlaps(10)

detail(0)
idoffset(30)
yrot()
soundtrack(stage12,zipo)

set(30,0,0,250,0)p

set(30,0,5600,250,0)
set(30,0,11200,250,0)
set(51,0,11200,250,0)
set(51,0,18300,-2000,0)
set(51,0,25400,-4000,0)
set(57,0,29200,-6000,0)
set(51,0,32500,-6000,0)
set(51,0,39600,-8000,0)
set(51,0,46700,-10000,0)
set(51,0,53800,-12000,0)
set(51,0,60900,-13800,0)
set(51,0,68000,-16000,0)
set(51,0,75100,-18000,0)
set(51,0,82200,-20000,0)
set(51,0,89300,-23000,0)
set(51,0,96400,-26000,0)
set(51,0,103500,-30000,0)

set(51,-2000,11200,250,30)
set(51,2000,11200,250,-30)
set(51,-3000,25200,-3000,0)p
chk(60,-3000,29000,-5700,0)

.set(48,2000,11200,-300,0)
.set(48,2000,11400,-300,0)
.set(48,2000,11600,-300,0)
.set(48,2000,11800,-300,0)
.set(48,2000,12000,-300,0)
.set(48,2000,12200,-300,0)
.set(48,2000,12400,-300,0)
.set(48,2000,12600,-300,0)
.set(48,2000,12800,-300,0)
.set(48,2000,13000,-300,0)
.set(48,2000,13200,-300,0)
.set(48,2000,13400,-300,0)
.set(48,2000,13600,-300,0)
.set(48,2000,13800,-300,0)
.set(48,2000,14000,-300,0)


.set(57,0,29200,-6000,0)
set(57,2000,29200,-6000,0)
set(57,-2000,29200,-6000,0)
set(55,5000,18600,-1250,0)
set(50,6000,17200,-1000,-90)
set(50,6000,18600,-1000,-90)
set(50,7900,14600,-1500,180)
set(55,5000,21000,-2000,0)
set(56,6000,25500,-2000,-90)
set(56,4000,25500,-2000,90)
set(56,6000,27300,-2000,-90)
set(56,4000,27300,-2000,90)
set(56,6000,29100,-2000,-90)
set(56,4000,28600,-2000,90)
set(56,6000,30900,-2000,-90)
set(56,4000,31300,-2000,90)
set(56,6000,32700,-2000,-90)
set(56,4000,32700,-2000,90)
set(56,6000,34500,-2000,-90)
set(56,4000,34500,-2000,90)
set(53,4500,30000,-1900,0)
set(53,3500,30000,-2000,0)
set(53,2500,30000,-2100,0)
set(53,1500,30000,-2200,0)
set(52,1000,30000,-2100,90)
set(30,9000,17200,-1000,-90)p
set(34,13000,17200,-1000,180)pt
set(30,13000,21200,-1000,0)p
set(42,13000,24200,-7000,90)
set(42,13000,24200,-6750,90)
set(42,13000,24200,-6500,90)
set(42,13000,24200,-6250,90)
set(42,13000,24200,-6000,90)
set(42,13000,24200,-5750,90)
set(42,13000,24200,-5500,90)
set(42,13000,24200,-5250,90)
set(42,13000,24200,-5000,90)
set(42,13000,24200,-4750,90)
set(42,13000,24200,-4500,90)
set(42,13000,24200,-4250,90)
set(42,13000,24200,-4000,90)
set(42,13000,24200,-3750,90)
set(42,13000,24200,-3500,90)
set(42,13000,24200,-3250,90)
set(42,13000,24200,-3000,90)
set(42,13000,24200,-2750,90)
set(42,13000,24200,-2500,90)
set(42,13000,24200,-2250,90)
set(42,13000,24200,-2000,90)
set(42,13000,24200,-1750,90)
set(42,13000,24200,-1500,90)
